review_id,category,rating
1,Home,1
2,Clothing,4
3,Electronics,3
4,Clothing,3
5,Electronics,3
6,Home,4
7,Home,4
8,Home,5
9,Electronics,2
10,Home,4
11,Clothing,5
12,Clothing,5
13,Clothing,4
14,Home,4
15,Electronics,3
16,Beauty,4
17,Electronics,4
18,Clothing,5
19,Beauty,2
20,Beauty,3
21,Home,3
22,Home,4
23,Clothing,2
24,Clothing,5
25,Beauty,4
26,Home,1
27,Electronics,4
28,Electronics,1
29,Home,4
30,Beauty,3
31,Electronics,3
32,Clothing,3
33,Beauty,5
34,Electronics,4
35,Clothing,3
36,Clothing,5
37,Home,4
38,Beauty,2
39,Clothing,3
40,Electronics,4
41,Home,3
42,Electronics,1
43,Beauty,4
44,Electronics,5
45,Home,5
46,Clothing,5
47,Home,5
48,Clothing,4
49,Home,3
50,Home,4
51,Clothing,5
52,Home,1
53,Home,4
54,Electronics,5
55,Home,3
56,Home,5
57,Beauty,5
58,Beauty,3
59,Beauty,2
60,Home,4
61,Beauty,1
62,Home,5
63,Home,1
64,Beauty,5
65,Clothing,1
66,Beauty,4
67,Clothing,4
68,Electronics,4
69,Electronics,4
70,Home,5
71,Electronics,4
72,Electronics,3
73,Home,4
74,Beauty,5
75,Home,3
76,Clothing,4
77,Home,5
78,Clothing,4
79,Clothing,4
80,Electronics,5
81,Beauty,3
82,Home,4
83,Electronics,5
84,Electronics,4
85,Home,5
86,Electronics,3
87,Beauty,2
88,Clothing,4
89,Beauty,5
90,Electronics,2
91,Beauty,4
92,Home,5
93,Beauty,4
94,Beauty,4
95,Clothing,5
96,Home,4
97,Clothing,4
98,Electronics,5
99,Home,5
100,Beauty,3
101,Clothing,4
102,Electronics,5
103,Beauty,2
104,Beauty,4
105,Clothing,4
106,Beauty,5
107,Clothing,4
108,Home,3
109,Beauty,2
110,Clothing,5
111,Electronics,5
112,Beauty,4
113,Clothing,3
114,Beauty,5
115,Beauty,1
116,Beauty,1
117,Beauty,3
118,Clothing,1
119,Home,3
120,Electronics,4
121,Home,4
